,Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,gameid
250,863,CLE,0,0,0,0,0,0,0,0,,1,0,0,-8,0,0,0,0,0,1,0,12
251,232,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,12
252,380,KAN,27,36,337,3,0,2,13,75,131.4,5,18,1,8,0,0,0,0,0,0,0,12
253,864,KAN,0,0,0,0,0,0,0,0,,14,43,0,9,3,3,29,0,14,0,0,12
254,379,KAN,0,0,0,0,0,0,0,0,,1,4,0,4,15,11,197,1,75,0,0,12
255,375,KAN,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0,12
256,370,KAN,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,3,0,3,0,0,12
257,518,KAN,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0,12
258,386,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,76,2,19,0,0,12
259,377,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,19,0,8,0,0,12
260,366,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0,12
261,376,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0,12
262,865,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-2,0,-2,0,0,12
263,154,CHI,27,38,206,0,1,3,28,19,72.9,2,13,0,9,0,0,0,0,0,1,1,13
264,866,CHI,2,2,10,0,0,0,0,9,87.5,1,3,1,3,0,0,0,0,0,0,0,13
265,120,CHI,0,0,0,0,0,0,0,0,,16,108,1,41,1,1,10,0,10,0,0,13
266,378,CHI,0,0,0,0,0,0,0,0,,6,12,0,6,5,4,28,0,11,0,0,13
267,867,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,42,0,10,0,0,13
268,124,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,35,0,9,0,0,13
269,868,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,26,0,9,0,0,13
270,21,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,19,0,10,0,0,13
271,267,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0,13
272,698,CHI,0,0,0,0,0,0,0,0,,1,-2,0,-2,4,4,45,0,19,0,0,13
273,253,LAR,20,26,321,3,0,1,9,67,156.1,5,-5,0,1,0,0,0,0,0,0,0,13
