,Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,gameid
231,411,LAC,0,0,0,0,0,0,0,0,,2,4,0,2,0,0,0,0,0,0,0,11
232,407,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,123,1,28,0,0,11
233,400,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,60,0,22,0,0,11
234,396,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,29,0,17,0,0,11
235,403,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,10,0,0,11
236,399,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,11
237,787,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0,11
238,401,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,11
239,154,CIN,35,51,418,2,0,5,23,55,106.5,0,0,0,0,0,0,0,0,0,2,2,12
240,161,CIN,0,0,0,0,0,0,0,0,,7,21,0,11,3,2,42,0,35,1,0,12
241,146,CIN,0,0,0,0,0,0,0,0,,6,10,0,6,3,2,7,0,10,0,0,12
242,163,CIN,0,0,0,0,0,0,0,0,,1,3,0,3,12,8,60,0,14,0,0,12
243,162,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,158,2,55,0,0,12
244,140,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,66,0,36,0,0,12
245,788,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,30,0,17,0,0,12
246,143,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,28,0,13,1,1,12
247,158,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,27,0,7,0,0,12
248,658,SEA,14,20,195,2,0,4,35,44,134.4,4,8,0,5,0,0,0,0,0,0,0,12
249,680,SEA,0,0,0,0,0,0,0,0,,15,46,1,21,7,6,34,1,10,1,1,12
250,671,SEA,0,0,0,0,0,0,0,0,,6,18,0,5,0,0,0,0,0,0,0,12
251,668,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,89,0,42,0,0,12
252,663,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,44,1,44,0,0,12
253,664,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,0,11,0,0,12
254,667,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0,12
255,253,DET,27,45,385,3,0,3,24,47,110.0,3,22,0,12,0,0,0,0,0,2,1,13
256,259,DET,0,0,0,0,0,0,0,0,,16,49,0,9,2,2,13,0,7,0,0,13
257,244,DET,0,0,0,0,0,0,0,0,,11,35,0,9,0,0,0,0,0,0,0,13
258,789,DET,0,0,0,0,0,0,0,0,,1,6,0,6,0,0,0,0,0,0,0,13
259,260,DET,0,0,0,0,0,0,0,0,,1,4,0,4,4,4,56,0,23,0,0,13
260,245,DET,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,131,1,39,0,0,13
261,251,DET,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,104,1,47,0,0,13
262,261,DET,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,42,1,13,0,0,13
263,662,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,24,0,12,0,0,13
264,254,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0,13
265,255,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,13
266,6,ARI,29,54,308,2,1,5,33,45,75.2,3,13,0,9,0,0,0,0,0,0,0,13
267,22,ARI,0,0,0,0,0,0,0,0,,18,82,0,18,7,6,55,1,27,0,0,13
268,5,ARI,0,0,0,0,0,0,0,0,,1,12,0,12,12,4,32,0,10,0,0,13
269,20,ARI,0,0,0,0,0,0,0,0,,1,5,0,5,1,0,0,0,0,0,0,13
270,2,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,13,8,113,1,45,0,0,13
271,16,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,46,0,15,0,0,13
272,21,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,42,0,19,0,0,13
273,3,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0,13
